sim gen PatchID NewPatchID ID Age AgeRecruit BreedPerf Disp DispProba FailInterc SucInterc FailSlope SucSlope NbProspPatch
0 0 0 10 1 11 4 1 1 0.5 0.5 -9999 -9999 -9999 18
0 0 0 2 4 15 4 0 1 0.5 0.5 -9999 -9999 -9999 23
0 0 0 11 7 14 2 1 1 0.5 0.5 -9999 -9999 -9999 10
0 0 0 0 8 11 7 1 0 0 0.5 -9999 -9999 -9999 11
0 0 0 11 9 11 8 1 1 0.5 0.5 -9999 -9999 -9999 16
0 0 0 0 11 8 7 1 0 0 0.5 -9999 -9999 -9999 1
0 0 0 14 13 11 4 1 1 0.5 0.5 -9999 -9999 -9999 4
0 0 0 0 15 7 7 0 0 0 0.5 -9999 -9999 -9999 14
0 0 0 20 16 13 5 1 1 0.5 0.5 -9999 -9999 -9999 9
0 0 0 0 17 7 5 1 0 0 0.5 -9999 -9999 -9999 24
0 0 0 0 18 10 3 1 0 0 0.5 -9999 -9999 -9999 13
0 0 0 0 20 15 6 0 0 0 0.5 -9999 -9999 -9999 15
0 0 0 0 26 9 4 1 0 0 0.5 -9999 -9999 -9999 15
0 0 0 0 28 4 2 1 0 0 0.5 -9999 -9999 -9999 6
0 0 0 0 29 16 7 1 0 0 0.5 -9999 -9999 -9999 1
0 0 0 0 30 14 5 0 0 0 0.5 -9999 -9999 -9999 3
0 0 0 10 32 8 6 1 1 0.5 0.5 -9999 -9999 -9999 22
0 0 0 0 33 11 6 1 0 0 0.5 -9999 -9999 -9999 6
0 0 0 11 34 8 6 1 1 0.5 0.5 -9999 -9999 -9999 20
0 0 0 8 35 9 5 0 1 0.5 0.5 -9999 -9999 -9999 11
0 0 0 8 36 6 5 0 1 0.5 0.5 -9999 -9999 -9999 8
0 0 0 0 37 15 6 1 0 0 0.5 -9999 -9999 -9999 4
0 0 0 0 38 8 6 1 0 0 0.5 -9999 -9999 -9999 4
0 0 0 0 42 12 6 0 0 0 0.5 -9999 -9999 -9999 3
0 0 0 8 43 3 3 0 1 0.5 0.5 -9999 -9999 -9999 8
0 0 0 17 45 15 7 1 1 0.5 0.5 -9999 -9999 -9999 0
0 0 0 8 46 14 9 1 1 0.5 0.5 -9999 -9999 -9999 17
0 0 0 11 48 14 4 0 1 0.5 0.5 -9999 -9999 -9999 6
0 0 0 8 49 10 2 1 1 0.5 0.5 -9999 -9999 -9999 13
0 0 0 0 52 14 6 1 0 0 0.5 -9999 -9999 -9999 23
0 0 0 0 53 14 5 1 0 0 0.5 -9999 -9999 -9999 8
0 0 0 0 56 10 3 1 0 0 0.5 -9999 -9999 -9999 19
0 0 0 0 57 16 6 1 0 0 0.5 -9999 -9999 -9999 24
0 0 0 7 58 9 8 1 1 0.5 0.5 -9999 -9999 -9999 0
0 0 0 0 60 16 3 0 0 0 0.5 -9999 -9999 -9999 4
0 0 0 0 61 6 1 0 0 0 0.5 -9999 -9999 -9999 9
0 0 0 0 62 10 7 1 0 0 0.5 -9999 -9999 -9999 17
0 0 0 8 64 6 5 1 1 0.5 0.5 -9999 -9999 -9999 21
0 0 0 0 66 11 9 1 0 0 0.5 -9999 -9999 -9999 11
0 0 0 20 72 14 5 1 1 0.5 0.5 -9999 -9999 -9999 9
0 0 0 15 74 8 3 1 1 0.5 0.5 -9999 -9999 -9999 0
0 0 0 0 75 15 8 1 0 0 0.5 -9999 -9999 -9999 5
0 0 0 7 76 11 2 1 1 0.5 0.5 -9999 -9999 -9999 5
0 0 0 15 78 12 3 1 1 0.5 0.5 -9999 -9999 -9999 1
0 0 0 0 80 3 3 0 0 0 0.5 -9999 -9999 -9999 6
0 0 0 0 82 12 7 0 0 0 0.5 -9999 -9999 -9999 23
0 0 0 13 83 16 1 1 1 0.5 0.5 -9999 -9999 -9999 22
0 0 0 0 84 10 5 0 0 0 0.5 -9999 -9999 -9999 22
0 0 0 8 85 12 5 1 1 0.5 0.5 -9999 -9999 -9999 19
0 0 0 0 86 12 8 1 0 0 0.5 -9999 -9999 -9999 15
0 0 0 13 87 5 5 0 1 0.5 0.5 -9999 -9999 -9999 15
0 0 0 0 88 10 6 1 0 0 0.5 -9999 -9999 -9999 9
0 0 0 0 89 10 3 1 0 0 0.5 -9999 -9999 -9999 18
0 0 0 0 91 9 4 1 0 0 0.5 -9999 -9999 -9999 4
0 0 0 8 92 11 7 1 1 0.5 0.5 -9999 -9999 -9999 9
0 0 0 8 94 15 5 1 1 0.5 0.5 -9999 -9999 -9999 8
0 0 0 13 96 14 5 0 1 0.5 0.5 -9999 -9999 -9999 5
0 0 0 8 98 5 4 0 1 0.5 0.5 -9999 -9999 -9999 23
0 0 0 0 99 11 3 0 0 0 0.5 -9999 -9999 -9999 24
0 0 0 18 100 6 3 1 1 0.5 0.5 -9999 -9999 -9999 1
0 0 0 0 2527 1 1 0 0 0 0.5 -9999 -9999 -9999 6
0 0 0 11 2560 1 1 0 1 0.5 0.5 -9999 -9999 -9999 0
0 0 0 0 2604 1 1 0 0 0 0.5 -9999 -9999 -9999 18
0 0 1 22 101 11 7 1 1 0.5 0.5 -9999 -9999 -9999 3
0 0 1 20 105 10 5 0 1 0.5 0.5 -9999 -9999 -9999 4
0 0 1 14 110 11 5 1 1 0.5 0.5 -9999 -9999 -9999 5
0 0 1 1 112 5 3 0 0 0 0.5 -9999 -9999 -9999 2
0 0 1 1 113 9 8 0 0 0 0.5 -9999 -9999 -9999 4
0 0 1 1 114 9 3 0 0 0 0.5 -9999 -9999 -9999 5
