sim gen PatchID NewPatchID ID Age AgeRecruit BreedPerf Disp DispProba FailInterc SucInterc FailSlope SucSlope NbProspPatch
0 0 0 0 1 10 4 0 0 0 0.5 -9999 -9999 -9999 23
0 0 0 0 2 11 3 1 0 0 0.5 -9999 -9999 -9999 10
0 0 0 20 3 7 5 1 1 0.5 0.5 -9999 -9999 -9999 24
0 0 0 0 5 12 5 1 0 0 0.5 -9999 -9999 -9999 6
0 0 0 24 6 15 5 1 1 0.5 0.5 -9999 -9999 -9999 3
0 0 0 0 7 11 7 1 0 0 0.5 -9999 -9999 -9999 15
0 0 0 0 9 12 3 1 0 0 0.5 -9999 -9999 -9999 0
0 0 0 8 10 15 5 1 1 0.5 0.5 -9999 -9999 -9999 8
0 0 0 0 11 11 3 1 0 0 0.5 -9999 -9999 -9999 15
0 0 0 8 12 6 3 1 1 0.5 0.5 -9999 -9999 -9999 12
0 0 0 20 13 13 4 1 1 0.5 0.5 -9999 -9999 -9999 20
0 0 0 0 14 6 4 0 0 0 0.5 -9999 -9999 -9999 9
0 0 0 0 16 3 3 0 0 0 0.5 -9999 -9999 -9999 7
0 0 0 13 17 10 3 0 1 0.5 0.5 -9999 -9999 -9999 7
0 0 0 0 19 11 5 1 0 0 0.5 -9999 -9999 -9999 0
0 0 0 0 20 7 5 1 0 0 0.5 -9999 -9999 -9999 11
0 0 0 10 23 14 6 0 1 0.5 0.5 -9999 -9999 -9999 14
0 0 0 15 24 4 4 0 1 0.5 0.5 -9999 -9999 -9999 23
0 0 0 0 25 2 2 0 0 0 0.5 -9999 -9999 -9999 22
0 0 0 10 26 5 3 0 1 0.5 0.5 -9999 -9999 -9999 11
0 0 0 0 28 14 5 1 0 0 0.5 -9999 -9999 -9999 22
0 0 0 0 29 15 4 1 0 0 0.5 -9999 -9999 -9999 24
0 0 0 0 33 16 5 0 0 0 0.5 -9999 -9999 -9999 3
0 0 0 0 34 4 4 0 0 0 0.5 -9999 -9999 -9999 22
0 0 0 14 35 16 7 1 1 0.5 0.5 -9999 -9999 -9999 14
0 0 0 23 36 12 4 1 1 0.5 0.5 -9999 -9999 -9999 14
0 0 0 0 37 9 9 0 0 0 0.5 -9999 -9999 -9999 16
0 0 0 5 39 12 8 0 1 0.5 0.5 -9999 -9999 -9999 5
0 0 0 22 40 14 4 1 1 0.5 0.5 -9999 -9999 -9999 14
0 0 0 19 42 13 5 1 1 0.5 0.5 -9999 -9999 -9999 1
0 0 0 0 45 11 10 1 0 0 0.5 -9999 -9999 -9999 21
0 0 0 8 46 16 2 1 1 0.5 0.5 -9999 -9999 -9999 2
0 0 0 7 48 12 7 1 1 0.5 0.5 -9999 -9999 -9999 8
0 0 0 0 50 9 6 1 0 0 0.5 -9999 -9999 -9999 24
0 0 0 12 51 14 9 1 1 0.5 0.5 -9999 -9999 -9999 1
0 0 0 1 54 15 4 0 1 0.5 0.5 -9999 -9999 -9999 23
0 0 0 0 55 8 4 1 0 0 0.5 -9999 -9999 -9999 8
0 0 0 17 56 12 2 0 1 0.5 0.5 -9999 -9999 -9999 0
0 0 0 16 58 9 4 1 1 0.5 0.5 -9999 -9999 -9999 19
0 0 0 0 60 13 7 1 0 0 0.5 -9999 -9999 -9999 11
0 0 0 0 61 6 4 1 0 0 0.5 -9999 -9999 -9999 2
0 0 0 0 62 7 4 0 0 0 0.5 -9999 -9999 -9999 9
0 0 0 22 64 14 4 0 1 0.5 0.5 -9999 -9999 -9999 3
0 0 0 19 66 14 3 1 1 0.5 0.5 -9999 -9999 -9999 1
0 0 0 6 72 11 8 1 1 0.5 0.5 -9999 -9999 -9999 2
0 0 0 14 73 9 7 1 1 0.5 0.5 -9999 -9999 -9999 21
0 0 0 8 76 10 2 0 1 0.5 0.5 -9999 -9999 -9999 14
