sim gen PatchID env.qual K succrate ExpOff Nadult Nimmat Nsuc Nfail Njuv NpreDisp NDisp Nstay Nimmigr Nadfinal Nimmatfin
0 2000 6 0.506583 150.658 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 2000 7 -1.19447 0 0 0 37 11 0 37 0 34 16 18 0 18 7 
0 2000 8 1.64504 264.504 0.590226 0.997181 266 259 157 109 239 272 68 204 51 255 298 
0 2000 9 -2.05482 0 0 0 115 114 0 115 0 111 56 55 0 55 61 
0 2000 10 -0.332265 66.7735 0.823529 1.59414 17 9 14 3 27 15 2 13 78 91 20 
0 2000 11 -0.430884 56.9116 0 -999 0 0 0 0 0 0 0 0 1 1 0 
0 2000 12 -2.03704 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 2000 13 1.04857 204.857 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 2000 14 0.313686 131.369 0.566038 0.765175 212 199 120 92 166 213 65 148 67 215 211 
0 2000 15 -1.51995 0 0 0 48 42 0 48 0 45 29 16 1 17 23 
0 2000 16 -0.575421 42.4579 0.676471 1.11062 34 33 23 11 40 32 6 26 55 81 34 
0 2000 17 0.11138 111.138 0.504545 0.671249 220 183 111 109 159 201 61 140 47 187 193 
0 2000 18 -2.35364 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 2000 19 0.697588 169.759 0.541516 0.759957 277 329 150 127 228 288 95 193 50 243 324 
0 2000 20 -0.457858 54.2142 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 2000 21 0.953306 195.331 0.635838 1.06063 173 137 110 63 192 178 43 135 60 195 166 
0 2000 22 -1.55049 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 2000 23 0.915049 191.505 0.606335 0.928498 221 263 134 87 207 211 58 153 54 207 293 
0 2000 24 -0.0201531 97.9847 0.614679 0.946782 109 149 67 42 94 126 34 92 58 150 135 
0 3000 0 0.112022 111.202 0.454545 0.649921 231 280 105 126 137 229 76 153 37 190 252 
0 3000 1 1.09427 209.427 0.653595 1.15569 153 162 100 53 172 149 40 109 39 148 194 
0 3000 2 -0.637031 36.2969 0.488636 0.584036 88 126 43 45 57 97 33 64 32 96 102 
0 3000 3 -0.490755 50.9245 0.435644 0.670392 101 74 44 57 56 94 25 69 39 108 78 
