sim gen PatchID NewPatchID ID Age AgeRecruit BreedPerf Disp DispProba FailInterc SucInterc FailSlope SucSlope NbProspPatch
0 0 0 10 2 14 2 0 1 0.987513 0.987513 0.365609 -9999 -9999 9
0 0 0 0 3 15 8 1 0 0 0.0588242 0.297634 -9999 -9999 18
0 0 0 0 6 11 10 1 0 0 0.240033 0.0589457 -9999 -9999 1
0 0 0 10 7 11 3 1 1 0.724221 0.0737155 0.724221 -9999 -9999 22
0 0 0 2 8 6 4 1 1 0.68699 0.549028 0.68699 -9999 -9999 6
0 0 0 0 9 13 2 1 0 0 0.0343156 0.355428 -9999 -9999 9
0 0 0 2 10 9 7 0 1 0.862346 0.862346 0.918786 -9999 -9999 15
0 0 0 0 11 13 5 1 0 0 0.559615 0.228493 -9999 -9999 18
0 0 0 2 12 11 9 0 1 0.962354 0.962354 0.47892 -9999 -9999 15
0 0 0 10 13 12 7 0 1 0.682097 0.682097 0.26224 -9999 -9999 19
0 0 0 23 15 13 12 1 1 0.890975 0.0300298 0.890975 -9999 -9999 17
0 0 0 10 17 10 6 1 1 0.40532 0.921096 0.40532 -9999 -9999 12
0 0 0 0 21 12 8 1 0 0 0.248691 0.541517 -9999 -9999 12
0 0 0 10 22 5 2 0 1 0.825441 0.825441 0.0624294 -9999 -9999 24
0 0 0 0 24 16 6 0 0 0 0.213387 0.791781 -9999 -9999 18
0 0 0 0 25 14 6 1 0 0 0.626309 0.0813266 -9999 -9999 2
0 0 0 0 26 12 5 1 0 0 0.715043 0.0510808 -9999 -9999 11
0 0 0 10 27 10 4 0 1 0.919072 0.919072 0.398453 -9999 -9999 16
0 0 0 0 28 12 5 1 0 0 0.30696 0.216219 -9999 -9999 5
0 0 0 0 34 10 3 1 0 0 0.00773857 0.0169092 -9999 -9999 2
0 0 0 0 35 7 5 1 0 0 0.04421 0.139418 -9999 -9999 15
0 0 0 0 36 9 6 1 0 0 0.422159 0.400043 -9999 -9999 8
0 0 0 0 37 6 3 1 0 0 0.620522 0.146794 -9999 -9999 24
0 0 0 10 38 16 3 1 1 0.594565 0.902063 0.594565 -9999 -9999 17
0 0 0 24 41 6 3 1 1 0.929121 0.578403 0.929121 -9999 -9999 0
0 0 0 0 42 16 7 0 0 0 0.385854 0.92514 -9999 -9999 24
0 0 0 5 43 10 2 1 1 0.822703 0.573395 0.822703 -9999 -9999 1
0 0 0 0 44 15 3 1 0 0 0.92898 0.162635 -9999 -9999 4
0 0 0 7 45 8 3 0 1 0.417798 0.417798 0.376745 -9999 -9999 6
0 0 0 10 46 4 3 1 1 0.963534 0.531126 0.963534 -9999 -9999 5
0 0 0 0 47 14 3 1 0 0 0.719577 0.117087 -9999 -9999 14
0 0 0 23 48 6 0 1 1 0.518124 0.434107 0.518124 -9999 -9999 11
0 0 0 0 49 9 6 0 0 0 0.635816 0.102998 -9999 -9999 1
0 0 0 10 50 6 5 1 1 0.928677 0.591876 0.928677 -9999 -9999 17
0 0 0 0 51 9 2 1 0 0 0.836516 0.0699532 -9999 -9999 1
0 0 0 0 52 10 3 1 0 0 0.128693 0.427945 -9999 -9999 16
0 0 0 0 53 10 6 1 0 0 0.28726 0.809734 -9999 -9999 14
0 0 0 10 54 15 3 1 1 0.749863 0.740072 0.749863 -9999 -9999 5
0 0 0 0 56 11 5 0 0 0 0.613774 0.888406 -9999 -9999 0
0 0 0 0 58 12 4 0 0 0 0.390572 0.952086 -9999 -9999 23
