sim gen PatchID env.qual K succrate ExpOff Nadult Nimmat Nsuc Nfail Njuv NpreDisp NDisp Nstay Nimmigr Nadfinal Nimmatfin
0 1000 6 0.128634 112.863 0.840909 1.439 44 67 37 7 66 45 24 21 151 172 85 
0 1000 7 -0.431752 56.8248 0.360947 0.503265 169 190 61 108 69 158 104 54 68 122 155 
0 1000 8 -0.650507 34.9493 0.349593 0.442538 123 162 43 80 48 128 89 39 49 88 118 
0 1000 9 0.7292 172.92 0.625668 0.96088 187 160 117 70 184 182 93 89 101 190 208 
0 1000 10 0.332082 133.208 0.521978 0.845208 182 167 95 87 134 176 106 70 86 156 171 
0 1000 11 -0.498982 50.1018 0.376712 0.510977 146 64 55 91 73 135 89 46 59 105 75 
0 1000 12 1.088 208.8 0.698718 1.14474 156 262 109 47 182 167 74 93 116 209 274 
0 1000 13 -0.0962541 90.3746 0.567901 0.716194 162 148 92 70 135 162 89 73 100 173 165 
0 1000 14 -0.649525 35.0475 0 -999 0 1 0 0 0 1 0 1 0 1 0 
0 1000 15 -0.429594 57.0406 0.360248 0.523211 161 69 58 103 75 151 107 44 66 110 86 
0 1000 16 1.13859 213.859 0.718121 1.17875 149 140 107 42 178 147 76 71 99 170 178 
0 1000 17 -2.48473 0 0 0 1 1 0 1 0 1 0 1 0 1 0 
0 1000 18 -2.32645 0 0 0 3 10 0 3 0 7 4 3 0 3 2 
0 1000 19 -0.355993 64.4007 0.545455 0.84515 88 43 48 40 67 84 44 40 87 127 65 
0 1000 20 0.638746 163.875 0.558511 0.931438 188 175 105 83 160 189 110 79 92 171 200 
0 1000 21 0.155275 115.528 0.617284 0.832548 162 176 100 62 142 159 78 81 93 174 199 
0 1000 22 0.563095 156.31 0.630303 0.972953 165 123 104 61 178 160 91 69 115 184 182 
0 1000 23 -0.504121 49.5879 0.438462 0.552241 130 136 57 73 67 130 89 41 73 114 117 
0 1000 24 0.384867 138.487 0.662921 1.21754 89 33 59 30 92 84 40 44 110 154 70 
0 2000 0 1.52563 252.563 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 2000 1 -0.235851 76.4149 0.529915 0.790166 117 42 62 55 82 112 68 44 102 146 65 
0 2000 2 -0.959874 4.01261 0 -999 0 1 0 0 0 1 1 0 0 0 0 
0 2000 3 -0.341252 65.8748 0 -999 0 1 0 0 0 0 0 0 0 0 1 
0 2000 4 1.42842 242.842 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 2000 5 -1.94456 0 0 0 5 21 0 5 0 8 6 2 0 2 11 
0 2000 6 -0.573989 42.6011 0.310204 0.296251 245 339 76 169 87 240 183 57 58 115 254 
0 2000 7 -2.59302 0 0 0 1 2 0 1 0 2 2 0 0 0 0 
0 2000 8 0.59104 159.104 0.595238 0.862109 210 1 125 85 191 175 108 67 116 183 118 
0 2000 9 1.20546 220.546 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 2000 10 1.52695 252.695 0.681633 1.01546 245 300 167 78 264 256 134 122 122 244 321 
0 2000 11 -0.326463 67.3537 0.338095 0.485688 210 251 71 139 93 193 140 53 74 127 207 
0 2000 12 0.480977 148.098 0.548117 0.76517 239 321 131 108 190 239 148 91 118 209 292 
0 2000 13 0.915167 191.517 0.722892 1.07137 166 211 120 46 195 166 90 76 148 224 237 
0 2000 14 -0.868521 13.1479 0.12973 0.132708 185 166 24 161 25 177 145 32 23 55 111 
0 2000 15 -0.920932 7.90677 0.666667 0.935338 9 50 6 3 12 19 14 5 125 130 29 
0 2000 16 -0.846266 15.3734 0.533333 1.01229 15 25 8 7 14 19 13 6 98 104 20 
0 2000 17 -1.0482 0 0 0 71 178 0 71 0 83 71 12 0 12 101 
0 2000 18 1.84195 284.195 0.668449 1.20627 187 189 125 62 220 209 122 87 151 238 228 
0 2000 19 0.263267 126.327 0.578723 0.699238 235 237 136 99 193 230 144 86 114 200 273 
0 2000 20 -0.0655092 93.4491 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 2000 21 0.897202 189.72 0.63035 0.849392 257 373 162 95 236 274 159 115 127 242 353 
0 2000 22 -0.939711 6.02892 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 2000 23 -0.934552 6.54484 1 1.73492 1 0 1 0 1 0 0 0 200 200 1 
0 2000 24 -0.182194 81.7806 0.494681 0.606275 188 168 93 95 122 169 112 57 84 141 184 
0 3000 0 -0.250991 74.9009 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 3000 1 -0.470315 52.9685 0.888889 1.70953 9 87 8 1 18 27 21 6 142 148 54 
0 3000 2 1.1267 212.67 0.572016 0.933439 243 271 139 104 223 232 132 100 87 187 268 
0 3000 3 -0.221518 77.8482 0.432099 0.649145 162 196 70 92 93 155 107 48 85 133 169 
0 3000 4 0.24839 124.839 0.540816 0.778203 196 279 106 90 156 198 127 71 98 169 266 
0 3000 5 -1.15359 0 0 0 72 113 0 72 0 81 70 11 0 11 59 
0 3000 6 1.21644 221.644 0.702439 1.03901 205 248 144 61 242 208 110 98 152 250 284 
0 3000 7 0.636814 163.681 0.625592 0.87371 211 192 132 79 191 196 115 81 109 190 233 
0 3000 8 -0.402282 59.7718 0.45614 0.687935 114 113 52 62 76 121 88 33 84 117 105 
0 3000 9 0.0816285 108.163 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 3000 10 0.0103812 101.038 0.455752 0.617898 226 160 103 123 137 198 127 71 94 165 174 
0 3000 11 0.297863 129.786 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 3000 12 -0.76049 23.951 0.583333 1.33242 12 125 7 5 13 31 24 7 106 113 80 
0 3000 13 0.372721 137.272 0.480519 0.745493 231 52 111 120 165 213 144 69 87 156 125 
0 3000 14 0.216291 121.629 0.552147 0.85465 163 250 90 73 131 181 126 55 113 168 225 
0 3000 15 -1.2522 0 0 0 152 50 0 152 0 136 126 10 0 10 29 
0 3000 16 0.171036 117.104 0.625 1.1419 88 135 55 33 110 94 56 38 131 169 135 
0 3000 17 0.326617 132.662 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 3000 18 -0.662996 33.7004 0.338129 0.390275 139 102 47 92 53 125 93 32 60 92 103 
0 3000 19 -0.130619 86.9381 0 -999 0 0 0 0 0 0 0 0 1 1 0 
0 3000 20 0.539288 153.929 0.743363 1.15333 113 112 84 29 138 121 68 53 118 171 147 
0 3000 21 -0.190607 80.9393 0.613636 0.958206 88 88 54 34 85 89 52 37 108 145 92 
0 3000 22 1.3302 233.02 0.71 1.07626 200 198 142 58 231 210 118 92 132 224 225 
0 3000 23 -1.32631 0 0 0 7 24 0 7 0 7 3 4 0 4 12 
0 3000 24 -3.07781 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 4000 0 -1.21544 0 0 0 64 30 0 64 0 61 56 5 0 5 19 
0 4000 1 0.836387 183.639 0.625 0.999017 184 248 115 69 185 185 101 84 86 170 265 
0 4000 2 -0.863191 13.6809 0.206522 0.25891 92 45 19 73 22 87 74 13 23 36 40 
0 4000 3 -1.60434 0 0 0 65 105 0 65 0 62 61 1 0 1 64 
0 4000 4 0.132812 113.281 0.577465 0.887501 142 154 82 60 123 138 85 53 80 133 156 
0 4000 5 -0.279434 72.0566 0.536913 0.651929 149 231 80 69 109 137 91 46 81 127 211 
0 4000 6 -0.338613 66.1387 0.534351 0.670987 131 184 70 61 95 132 87 45 85 130 177 
0 4000 7 1.4478 244.78 0.726708 1.20647 161 234 117 44 202 168 85 83 121 204 266 
0 4000 8 -1.49075 0 0 -999 0 2 0 0 0 1 1 0 1 1 1 
0 4000 9 -0.293047 70.6953 0.464968 0.620964 157 151 73 84 100 147 101 46 55 101 163 
0 4000 10 -0.404727 59.5273 0.638889 0.905171 72 144 46 26 76 81 47 34 98 132 133 
0 4000 11 -0.521942 47.8058 0.5 1.91969 2 26 1 1 1 8 7 1 71 72 11 
0 4000 12 -0.314432 68.5568 0.462585 0.63609 147 164 68 79 96 146 95 51 83 134 153 
0 4000 13 0.568504 156.85 0.585635 0.92852 181 190 106 75 165 191 109 82 92 174 198 
0 4000 14 1.96961 296.961 0.777108 1.28288 166 261 129 37 225 190 96 94 117 211 259 
0 4000 15 2.04848 304.848 0.698795 1.29489 166 312 116 50 196 176 108 68 105 173 300 
0 4000 16 -0.391786 60.8214 0.472222 0.720541 108 116 51 57 76 116 78 38 70 108 107 
0 4000 17 -0.150523 84.9477 0.515528 0.690779 161 170 83 78 121 159 115 44 89 133 162 
0 4000 18 -0.938092 6.19075 0 -999 0 0 0 0 0 0 0 0 1 1 0 
0 4000 19 -0.307681 69.2319 0.567568 0.768253 111 68 63 48 87 99 61 38 72 110 92 
0 4000 20 1.484 248.4 0.711765 1.18738 170 234 121 49 200 168 77 91 106 197 246 
0 4000 21 -0.556345 44.3655 0.300813 0.530163 123 126 37 86 46 115 79 36 61 97 103 
0 4000 22 1.11987 211.987 0.65493 1.19771 142 170 93 49 175 144 79 65 90 155 200 
0 4000 23 0.452382 145.238 0.715596 1.14254 109 153 78 31 127 110 56 54 127 181 160 
0 4000 24 0.37963 137.963 0.684211 1.09511 114 136 78 36 140 118 67 51 102 153 157 
0 5000 0 0.162499 116.25 0.517241 0.801033 174 208 90 84 137 170 99 71 89 160 192 
0 5000 1 -1.18545 0 0 0 42 83 0 42 0 52 42 10 0 10 50 
0 5000 2 -0.38321 61.679 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 3 0.419671 141.967 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 4 -1.68197 0 0 0 4 64 0 4 0 21 20 1 0 1 35 
0 5000 5 1.86959 286.959 0.701422 1.15254 211 317 148 63 264 206 101 105 132 237 357 
0 5000 6 -0.470329 52.9671 0.528736 0.75685 87 84 46 41 72 80 49 31 87 118 106 
0 5000 7 -1.22575 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 8 1.57237 257.237 0.614458 1.01627 249 262 153 96 258 247 137 110 105 215 304 
0 5000 9 0.301174 130.117 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 10 0.782967 178.297 0.577273 0.895296 220 276 127 93 187 231 133 98 108 206 283 
0 5000 11 -0.285159 71.4841 0.494318 0.577686 176 177 87 89 106 175 110 65 81 146 163 
0 5000 12 -0.336702 66.3298 0.52439 0.894356 82 133 43 39 60 82 50 32 95 127 118 
0 5000 13 -0.33095 66.905 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 14 0.94765 194.765 0.614525 1.04218 179 117 110 69 169 172 93 79 102 181 162 
0 5000 15 -1.3209 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 16 0.216724 121.672 0.651007 0.899038 149 4 97 52 149 133 58 75 106 181 92 
0 5000 17 -0.406341 59.3659 0.818182 1.68735 11 141 9 2 19 33 26 7 150 157 82 
0 5000 18 -2.72823 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 19 0.129607 112.961 0.571429 0.893109 140 55 80 60 108 121 67 54 90 144 99 
0 5000 20 0.226869 122.687 0.524038 0.742012 208 251 109 99 146 221 142 79 83 162 218 
0 5000 21 -0.337467 66.2533 0.434524 0.565655 168 108 73 95 98 157 99 58 82 140 124 
0 5000 22 0.518825 151.883 0.64881 0.949614 168 115 109 59 172 159 75 84 102 186 157 
0 5000 23 -0.108884 89.1116 0.47191 0.667224 178 175 84 94 121 173 108 65 65 130 177 
0 5000 24 0.169369 116.937 0.517544 0.678019 228 251 118 110 164 227 134 93 66 159 240 
0 6000 0 -0.356609 64.3391 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 1 -1.63487 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 2 -0.991731 0.826935 0.0166667 0.0136879 120 247 2 118 2 138 130 8 7 15 144 
0 6000 3 1.20094 220.094 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 4 2.15785 315.785 0.774436 1.40729 133 111 103 30 177 124 44 80 164 244 184 
0 6000 5 -0.57965 42.035 0.417323 0.497353 127 130 53 74 68 126 84 42 79 121 113 
0 6000 6 -0.176078 82.3922 0 -999 0 1 0 0 0 0 0 0 0 0 1 
0 6000 7 0.916265 191.627 0.67284 1.08378 162 304 109 53 203 183 94 89 137 226 293 
0 6000 8 0.478709 147.871 0.656051 0.970056 157 236 103 54 154 167 95 72 125 197 218 
0 6000 9 -1.40182 0 0 0 75 142 0 75 0 73 70 3 0 3 74 
0 6000 10 -1.29512 0 0 0 118 21 0 118 0 105 98 7 0 7 9 
0 6000 11 -1.58288 0 0 -999 0 5 0 0 0 2 2 0 0 0 2 
0 6000 12 1.04314 204.314 0.681035 1.27571 116 1 79 37 134 98 56 42 154 196 75 
0 6000 13 -0.581204 41.8796 0 -999 0 0 0 0 0 0 0 0 1 1 0 
0 6000 14 -1.14446 0 0 0 74 32 0 74 0 68 66 2 0 2 20 
0 6000 15 0.4981 149.81 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 16 0.687158 168.716 0.561404 1.19354 114 174 64 50 113 112 68 44 115 159 179 
0 6000 17 2.01863 301.863 0.735294 1.27945 170 289 125 45 220 189 95 94 126 220 281 
0 6000 18 -2.51026 0 0 -999 0 17 0 0 0 5 5 0 0 0 4 
0 6000 19 -2.9253 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 20 -0.326601 67.3399 0 -999 0 0 0 0 0 0 0 0 1 1 0 
0 6000 21 -0.342702 65.7298 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 22 -0.299966 70.0034 0.491803 0.729189 122 69 60 62 91 111 66 45 104 149 103 
0 6000 23 -0.10016 89.984 0.584416 1.07776 77 55 45 32 67 84 54 30 113 143 64 
0 6000 24 -1.3853 0 0 0 121 1 0 121 0 106 99 7 0 7 1 
0 7000 0 -0.382151 61.7849 0.666667 1.90739 3 1 2 1 7 1 0 1 62 63 6 
0 7000 1 0.399556 139.956 0.838235 1.34601 68 59 57 11 109 66 26 40 65 105 86 
0 7000 2 0.270489 127.049 0.741573 1.17611 89 74 66 23 125 87 34 53 54 107 119 
0 7000 3 0.00877927 100.878 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 4 -0.688867 31.1133 1 1.8792 2 71 2 0 3 8 6 2 79 81 47 
0 7000 5 1.81265 281.265 0.633333 1.40189 120 145 76 44 142 129 71 58 51 109 160 
0 7000 6 -0.848263 15.1737 0.308511 0.277973 94 17 29 65 35 85 57 28 33 61 30 
0 7000 7 1.16567 216.567 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 8 -1.02276 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 9 2.03453 303.453 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 10 0.693714 169.371 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 11 -0.342257 65.7743 0.401575 0.682397 127 142 51 76 70 125 83 42 37 79 115 
0 7000 12 1.33833 233.833 0.678571 1.16383 168 241 114 54 197 177 85 92 41 133 280 
0 7000 13 2.63921 363.921 0.744186 1.35811 172 299 128 44 225 183 87 96 53 149 311 
0 7000 14 0.786435 178.643 0.70073 1.13193 137 171 96 41 147 146 73 73 56 129 168 
0 7000 15 0.674347 167.435 0.703704 1.10725 135 160 95 40 160 122 56 66 52 118 182 
0 7000 16 0.482266 148.227 0.678261 1.12623 115 146 78 37 138 119 66 53 43 96 156 
0 7000 17 -1.28723 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 18 -1.5537 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 19 0.210805 121.08 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 20 0.10392 110.392 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 21 0.705586 170.559 0.742424 1.12744 132 165 98 34 159 132 65 67 51 118 175 
0 7000 22 1.15283 215.283 0.708609 1.1755 151 138 107 44 177 147 69 78 70 148 180 
0 7000 23 -0.144929 85.5071 0.756757 1.39595 37 56 28 9 50 46 24 22 55 77 61 
0 7000 24 -0.25757 74.243 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 0 -0.849076 15.0924 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 1 0.802111 180.211 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 2 -0.48715 51.285 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 3 0.822899 182.29 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 4 -2.35288 0 0 0 7 20 0 7 0 13 9 4 0 4 7 
0 8000 5 -0.207152 79.2848 0.507576 0.750502 132 112 67 65 96 130 71 59 79 138 115 
0 8000 6 0.0305531 103.055 0.45933 0.660494 209 69 96 113 129 197 118 79 85 164 104 
0 8000 7 -0.363618 63.6382 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 8 0.757533 175.753 0.553097 0.874931 226 296 125 101 175 224 127 97 82 179 272 
0 8000 9 0.336047 133.605 0.555066 0.741004 227 348 126 101 173 248 148 100 69 169 314 
0 8000 10 0.650698 165.07 1 1.98796 1 0 1 0 3 1 0 1 179 180 3 
0 8000 11 -0.0727931 92.7207 0.631579 0.897062 114 48 72 42 110 100 46 54 101 155 97 
0 8000 12 0.0279667 102.797 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 13 0.245546 124.555 0.721519 1.2238 79 24 57 22 98 69 34 35 130 165 67 
0 8000 14 1.75343 275.343 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 15 0.288498 128.85 0.62987 0.911083 154 192 97 57 143 153 81 72 117 189 208 
0 8000 16 -0.989498 1.05021 0.166667 0.297923 6 53 1 5 1 17 13 4 30 34 26 
0 8000 17 -0.835006 16.4994 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 18 -0.780114 21.9886 0.324074 0.338316 108 175 35 73 42 113 82 31 62 93 135 
0 8000 19 -0.99772 0.227997 0 0.00590451 77 53 0 77 0 67 63 4 0 4 34 
0 8000 20 -1.57905 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 21 0.274621 127.462 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 22 0.886159 188.616 0.608247 0.985928 194 232 118 76 172 184 99 85 86 171 229 
0 8000 23 -0.978142 2.18578 0.0335196 0.0241275 179 19 6 173 6 153 140 13 11 24 16 
0 8000 24 -0.478612 52.1388 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 0 0.451242 145.124 0.606742 0.898256 178 128 108 70 149 162 84 78 109 187 155 
0 9000 1 0.52512 152.512 0.633333 0.917332 180 189 114 66 166 172 81 91 128 219 213 
0 9000 2 0.940935 194.094 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 3 -0.340536 65.9464 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 4 -0.403149 59.6851 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 5 -0.294111 70.5889 0.371859 0.523678 199 274 74 125 88 198 139 59 75 134 211 
0 9000 6 0.298686 129.869 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 7 -0.0682707 93.1729 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 8 0.920798 192.08 0.636752 0.901614 234 316 149 85 216 230 117 113 119 232 301 
0 9000 9 -1.56427 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 10 -0.728518 27.1482 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 11 -0.150932 84.9068 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 12 -0.576611 42.3389 0.293532 0.347983 201 5 59 142 72 165 117 48 59 107 40 
0 9000 13 -0.311382 68.8618 0.460993 0.656258 141 138 65 76 84 135 79 56 95 151 124 
0 9000 14 -0.352206 64.7794 0.574074 1.09075 54 76 31 23 52 59 37 22 115 137 65 
0 9000 15 -0.237288 76.2712 0 -999 0 1 0 0 0 0 0 0 0 0 1 
0 9000 16 1.11899 211.899 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 17 0.995696 199.57 0.661905 0.974533 210 159 139 71 204 190 86 104 138 242 220 
0 9000 18 0.299729 129.973 0.559586 0.804853 193 250 108 85 152 198 105 93 107 200 241 
0 9000 19 0.00028646 100.029 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 20 -0.829898 17.0102 0 -999 0 9 0 0 0 3 3 0 0 0 5 
0 9000 21 -1.24544 0 0 -999 0 20 0 0 0 2 2 0 0 0 11 
0 9000 22 -0.502317 49.7683 0.283237 0.446816 173 144 49 124 63 171 127 44 56 100 122 
0 9000 23 0.877295 187.73 0.557377 0.869663 244 308 136 108 201 245 134 111 110 221 314 
0 9000 24 0.00151831 100.152 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 0 0.441164 144.116 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 1 0.491521 149.152 0.726619 1.03523 139 166 101 38 156 133 57 76 75 151 209 
0 10000 2 0.562613 156.261 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 3 0.383023 138.302 0.614679 1.11849 109 87 67 42 101 103 47 56 57 113 115 
0 10000 4 -0.646628 35.3372 0.493506 0.629128 77 99 38 39 52 77 42 35 60 95 86 
0 10000 5 0.643364 164.336 0.716535 1.12816 127 196 91 36 140 140 65 75 74 149 211 
0 10000 6 0.369586 136.959 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 7 0.205933 120.593 0.536913 0.894631 149 242 80 69 132 157 90 67 48 115 202 
0 10000 8 -1.14686 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 9 0.445631 144.563 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 10 -1.10809 0 0 -999 0 1 0 0 0 0 0 0 0 0 0 
0 10000 11 1.75859 275.859 0.794521 1.30783 146 271 116 30 205 159 66 93 67 160 276 
0 10000 12 1.15774 215.774 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 13 1.30167 230.167 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 14 1.22554 222.554 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 15 0.429225 142.922 0.624114 1.00677 141 184 88 53 141 148 76 72 63 135 199 
0 10000 16 0.307907 130.791 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 17 -0.653539 34.6461 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 18 -0.799221 20.0779 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 19 -0.655009 34.4991 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 20 -2.03987 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 21 0.0915947 109.159 0.592105 0.83596 152 135 90 62 145 151 77 74 59 133 174 
0 10000 22 0.502397 150.24 0.669565 1.13286 115 158 77 38 122 117 56 61 54 115 167 
0 10000 23 1.65302 265.302 0.689655 1.39156 116 153 80 36 150 122 53 69 73 142 189 
0 10000 24 1.82925 282.925 0.74269 1.24657 171 294 127 44 232 175 74 101 73 174 313 
0 11000 0 0.578743 157.874 1 1.98741 1 0 1 0 2 1 0 1 110 111 2 
0 11000 1 -0.202567 79.7433 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 11000 2 -0.354261 64.5739 0.403727 0.57253 161 177 65 96 92 162 103 59 33 92 169 
0 11000 3 -0.76714 23.286 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 11000 4 -0.528347 47.1653 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 11000 5 1.2333 223.33 0.713415 1.15318 164 149 117 47 191 149 45 104 69 173 190 
0 11000 6 0.208384 120.838 0.625 0.97122 128 210 80 48 123 137 72 65 65 130 211 
0 11000 7 0.276823 127.682 0.583893 0.922952 149 177 87 62 131 147 75 72 50 122 187 
0 11000 8 -1.16585 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 11000 9 0.928968 192.897 0.578947 1.00757 190 189 110 80 171 183 87 96 45 141 242 
0 11000 10 -1.07845 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 11000 11 0.572302 157.23 0.641026 1.00393 156 193 100 56 155 167 80 87 75 162 187 
0 11000 12 0.7665 176.65 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 11000 13 1.52038 252.038 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 11000 14 0.634388 163.439 0.60452 0.960165 177 252 107 70 151 176 87 89 73 162 243 
0 11000 15 -0.495689 50.4311 0 -999 0 2 0 0 0 0 0 0 0 0 2 
