sim gen PatchID env.qual K succrate ExpOff Nadult Nimmat Nsuc Nfail Njuv NpreDisp NDisp Nstay Nimmigr Nadfinal Nimmatfin
0 0 0 -1.30599 0 0 0 69 31 0 69 0 62 29 33 1 34 20 
0 0 1 0.918604 191.86 0.814815 1.40629 81 19 66 15 116 74 11 63 22 85 81 
0 0 2 -0.040817 95.9183 0.728395 1.08432 81 19 59 22 102 75 12 63 22 85 73 
0 0 3 -1.31099 0 0 0 73 27 0 73 0 69 33 36 0 36 12 
0 0 4 -0.381744 61.8256 0.728395 0.86575 81 19 59 22 97 79 22 57 25 82 54 
0 0 5 -1.12038 0 0 0 74 26 0 74 0 64 25 39 1 40 14 
0 0 6 1.00001 200.001 0.75 1.47059 72 28 54 18 114 69 19 50 28 78 84 
0 0 7 0.619412 161.941 0.75 1.40854 68 32 51 17 90 65 16 49 15 64 79 
0 0 8 0.672849 167.285 0.821918 1.39239 73 27 60 13 128 71 14 57 24 81 92 
0 0 9 -0.633697 36.6303 0.558824 0.700185 68 32 38 30 49 60 13 47 20 67 47 
0 0 10 -0.925604 7.43961 0.24 0.180486 75 25 18 57 20 69 29 40 8 48 30 
0 0 11 -0.280416 71.9584 0.520548 0.992815 73 27 38 35 52 67 20 47 4 51 45 
0 0 12 0.271933 127.193 0.675325 1.24581 77 23 52 25 82 69 11 58 14 72 62 
0 0 13 0.379136 137.914 0.763158 1.28943 76 24 58 18 96 71 18 53 17 70 60 
0 0 14 0.0277392 102.774 0.658228 1.13079 79 21 52 27 89 74 20 54 28 82 61 
0 0 15 -0.130785 86.9215 0.637681 1.11494 69 31 44 25 79 68 18 50 26 76 61 
0 0 16 0.42842 142.842 0.753425 1.32358 73 27 55 18 93 67 15 52 18 70 67 
0 0 17 -0.299826 70.0174 0.666667 0.94607 78 22 52 26 95 72 19 53 19 72 69 
0 0 18 0.116192 111.619 0.689189 1.20267 74 26 51 23 96 72 16 56 28 84 70 
0 0 19 1.69227 269.227 0.851852 1.53744 81 19 69 12 151 73 9 64 18 82 104 
0 0 20 1.07904 207.904 0.656716 1.51256 67 33 44 23 81 66 10 56 22 78 62 
0 0 21 0.490649 149.065 0.8125 1.30151 80 20 65 15 125 76 11 65 21 86 73 
0 0 22 0.210064 121.006 0.763158 1.22845 76 24 58 18 105 75 12 63 20 83 72 
0 0 23 -0.42461 57.539 0.621622 0.874858 74 26 46 28 62 70 20 50 25 75 52 
0 0 24 -0.192298 80.7702 0.628571 1.07143 70 30 44 26 74 70 26 44 22 66 62 
0 1000 0 -0.00836699 99.1633 0.870968 1.52368 31 106 27 4 52 46 23 23 128 151 93 
0 1000 1 0.641916 164.192 0.547511 0.852519 221 276 121 100 199 243 155 88 93 181 268 
0 1000 2 -0.901361 9.86394 0.160377 0.170268 106 160 17 89 18 114 83 31 19 50 94 
0 1000 3 1.7222 272.22 0.631016 1.18558 187 231 118 69 203 178 84 94 120 214 246 
0 1000 4 -0.594671 40.5329 0.294118 0.38505 170 151 50 120 64 160 112 48 53 101 121 
0 1000 5 -1.02929 0 0 0 153 188 0 153 0 147 114 33 0 33 110 
