sim gen PatchID NewPatchID ID Age AgeRecruit BreedPerf Disp DispProba FailInterc SucInterc FailSlope SucSlope NbProspPatch
0 0 0 5 1 13 7 0 1 0.779232 0.779232 -9999 -9999 -9999 24
0 0 0 4 4 6 6 0 1 0.234146 0.234146 -9999 -9999 -9999 10
0 0 0 0 5 15 2 1 0 0 0.459013 -9999 -9999 -9999 4
0 0 0 8 6 7 5 0 1 0.742774 0.742774 -9999 -9999 -9999 12
0 0 0 5 7 12 9 0 1 0.980056 0.980056 -9999 -9999 -9999 10
0 0 0 0 8 13 6 1 0 0 0.407507 -9999 -9999 -9999 2
0 0 0 5 9 7 2 0 1 0.865836 0.865836 -9999 -9999 -9999 22
0 0 0 0 10 8 3 1 0 0 0.0153144 -9999 -9999 -9999 11
0 0 0 0 12 15 4 1 0 0 0.185832 -9999 -9999 -9999 7
0 0 0 16 13 13 3 1 1 0.43657 0.43657 -9999 -9999 -9999 14
0 0 0 0 14 13 7 1 0 0 0.148811 -9999 -9999 -9999 17
0 0 0 0 15 11 3 1 0 0 0.255482 -9999 -9999 -9999 22
0 0 0 5 16 16 4 1 1 0.836309 0.836309 -9999 -9999 -9999 20
0 0 0 0 17 13 4 1 0 0 0.359479 -9999 -9999 -9999 12
0 0 0 5 18 16 5 0 1 0.633609 0.633609 -9999 -9999 -9999 10
0 0 0 0 19 6 5 1 0 0 0.0288056 -9999 -9999 -9999 10
0 0 0 0 21 9 6 1 0 0 0.151787 -9999 -9999 -9999 7
0 0 0 5 23 6 5 1 1 0.760413 0.760413 -9999 -9999 -9999 1
0 0 0 16 24 5 4 1 1 0.687574 0.687574 -9999 -9999 -9999 16
0 0 0 18 28 5 4 0 1 0.547947 0.547947 -9999 -9999 -9999 0
0 0 0 0 29 11 5 0 0 0 0.283069 -9999 -9999 -9999 10
0 0 0 0 33 5 4 1 0 0 0.265969 -9999 -9999 -9999 18
0 0 0 5 34 8 2 1 1 0.89067 0.89067 -9999 -9999 -9999 12
0 0 0 0 35 8 3 1 0 0 0.363567 -9999 -9999 -9999 12
0 0 0 0 37 7 4 0 0 0 0.555238 -9999 -9999 -9999 15
0 0 0 0 39 13 2 1 0 0 0.0472367 -9999 -9999 -9999 10
0 0 0 8 40 4 4 0 1 0.6744 0.6744 -9999 -9999 -9999 13
0 0 0 0 41 6 6 0 0 0 0.240986 -9999 -9999 -9999 1
0 0 0 22 42 13 10 1 1 0.276057 0.276057 -9999 -9999 -9999 3
0 0 0 5 43 13 5 1 1 0.831029 0.831029 -9999 -9999 -9999 20
0 0 0 5 44 14 3 1 1 0.512795 0.512795 -9999 -9999 -9999 17
0 0 0 0 47 7 4 1 0 0 0.202278 -9999 -9999 -9999 12
0 0 0 0 48 16 6 0 0 0 0.497362 -9999 -9999 -9999 9
0 0 0 16 49 12 8 1 1 0.430784 0.430784 -9999 -9999 -9999 10
0 0 0 16 50 8 3 1 1 0.597534 0.597534 -9999 -9999 -9999 13
0 0 0 0 52 16 5 1 0 0 0.202032 -9999 -9999 -9999 12
0 0 0 5 55 11 11 0 1 0.718331 0.718331 -9999 -9999 -9999 17
0 0 0 5 58 13 7 1 1 0.948566 0.948566 -9999 -9999 -9999 15
0 0 0 16 59 6 1 1 1 0.393939 0.393939 -9999 -9999 -9999 5
0 0 0 17 60 3 2 1 1 0.231159 0.231159 -9999 -9999 -9999 3
0 0 0 8 61 13 4 1 1 0.393425 0.393425 -9999 -9999 -9999 7
0 0 0 4 62 15 3 0 1 0.666138 0.666138 -9999 -9999 -9999 10
0 0 0 0 63 8 2 0 0 0 0.420049 -9999 -9999 -9999 20
0 0 0 5 64 7 5 1 1 0.349964 0.349964 -9999 -9999 -9999 18
0 0 0 0 65 8 6 1 0 0 0.00582532 -9999 -9999 -9999 13
0 0 0 0 67 3 3 0 0 0 0.584755 -9999 -9999 -9999 5
0 0 0 0 70 11 4 1 0 0 0.537394 -9999 -9999 -9999 21
0 0 0 0 71 12 3 1 0 0 0.175959 -9999 -9999 -9999 6
0 0 0 6 73 13 10 1 1 0.713583 0.713583 -9999 -9999 -9999 16
0 0 0 8 74 5 3 1 1 0.897478 0.897478 -9999 -9999 -9999 7
0 0 0 5 76 6 5 1 1 0.855171 0.855171 -9999 -9999 -9999 21
0 0 0 5 80 4 3 0 1 0.437032 0.437032 -9999 -9999 -9999 24
0 0 0 0 81 10 4 1 0 0 0.915964 -9999 -9999 -9999 4
0 0 0 5 82 13 7 1 1 0.490667 0.490667 -9999 -9999 -9999 11
0 0 0 4 83 11 1 0 1 0.872814 0.872814 -9999 -9999 -9999 5
0 0 0 0 84 11 6 1 0 0 0.0724582 -9999 -9999 -9999 18
0 0 0 0 85 11 4 0 0 0 0.406371 -9999 -9999 -9999 18
0 0 0 0 86 12 5 0 0 0 0.15122 -9999 -9999 -9999 2
0 0 0 5 87 3 2 1 1 0.820915 0.820915 -9999 -9999 -9999 22
0 0 0 4 91 14 6 1 1 0.411134 0.411134 -9999 -9999 -9999 9
0 0 0 5 92 12 4 1 1 0.562214 0.562214 -9999 -9999 -9999 9
0 0 0 0 93 9 7 0 0 0 0.00532155 -9999 -9999 -9999 13
0 0 0 0 94 13 3 1 0 0 0.648783 -9999 -9999 -9999 13
0 0 0 5 96 10 2 0 1 0.472763 0.472763 -9999 -9999 -9999 12
0 0 0 0 98 13 5 0 0 0 0.334965 -9999 -9999 -9999 3
0 0 0 16 100 6 2 1 1 0.79702 0.79702 -9999 -9999 -9999 9
0 0 0 0 2524 1 1 0 0 0 0.363567 -9999 -9999 -9999 12
0 0 0 0 2548 1 1 0 0 0 0.29265 -9999 -9999 -9999 24
0 0 0 8 2587 1 1 0 1 0.79702 0.79702 -9999 -9999 -9999 9
0 0 1 1 102 10 8 1 0 0 0.190763 -9999 -9999 -9999 17
0 0 1 8 103 11 0 1 1 0.954773 0.954773 -9999 -9999 -9999 18
0 0 1 1 104 10 8 0 0 0 0.214025 -9999 -9999 -9999 11
0 0 1 16 105 7 7 0 1 0.528951 0.528951 -9999 -9999 -9999 19
0 0 1 5 106 11 4 1 1 0.481911 0.481911 -9999 -9999 -9999 9
0 0 1 1 107 9 6 1 0 0 0.393182 -9999 -9999 -9999 15
0 0 1 5 109 15 3 1 1 0.657267 0.657267 -9999 -9999 -9999 17
0 0 1 1 112 8 4 0 0 0 0.713694 -9999 -9999 -9999 7
0 0 1 1 113 13 6 1 0 0 0.393172 -9999 -9999 -9999 23
0 0 1 21 114 15 8 0 1 0.915276 0.915276 -9999 -9999 -9999 1
0 0 1 5 115 16 6 1 1 0.962038 0.962038 -9999 -9999 -9999 16
0 0 1 5 116 15 7 0 1 0.438141 0.438141 -9999 -9999 -9999 19
0 0 1 0 117 15 6 1 1 0.741967 0.741967 -9999 -9999 -9999 0
0 0 1 5 118 10 1 0 1 0.183781 0.183781 -9999 -9999 -9999 16
0 0 1 1 119 12 2 1 0 0 0.719993 -9999 -9999 -9999 19
0 0 1 5 120 12 3 0 1 0.953858 0.953858 -9999 -9999 -9999 23
0 0 1 5 122 15 6 1 1 0.239438 0.239438 -9999 -9999 -9999 20
0 0 1 5 125 16 2 1 1 0.788265 0.788265 -9999 -9999 -9999 13
0 0 1 16 126 13 5 1 1 0.877753 0.877753 -9999 -9999 -9999 12
0 0 1 5 127 12 5 0 1 0.147585 0.147585 -9999 -9999 -9999 18
0 0 1 1 128 15 12 0 0 0 0.44417 -9999 -9999 -9999 12
0 0 1 1 129 15 6 1 0 0 0.278789 -9999 -9999 -9999 20
0 0 1 5 132 9 7 1 1 0.53251 0.53251 -9999 -9999 -9999 24
0 0 1 1 133 10 4 1 0 0 0.227573 -9999 -9999 -9999 12
0 0 1 1 134 9 8 1 0 0 0.462467 -9999 -9999 -9999 14
0 0 1 16 135 10 6 1 1 0.667447 0.667447 -9999 -9999 -9999 14
0 0 1 8 139 14 3 0 1 0.995987 0.995987 -9999 -9999 -9999 7
0 0 1 1 141 7 3 0 0 0 0.838368 -9999 -9999 -9999 6
0 0 1 9 143 14 7 1 1 0.835276 0.835276 -9999 -9999 -9999 1
0 0 1 5 144 5 4 1 1 0.466179 0.466179 -9999 -9999 -9999 15
0 0 1 16 145 16 5 1 1 0.374478 0.374478 -9999 -9999 -9999 4
0 0 1 1 146 7 3 1 0 0 0.415682 -9999 -9999 -9999 11
0 0 1 1 147 8 5 1 0 0 0.591996 -9999 -9999 -9999 10
0 0 1 1 149 13 6 0 0 0 0.430595 -9999 -9999 -9999 18
0 0 1 1 150 13 3 1 0 0 0.423595 -9999 -9999 -9999 20
0 0 1 5 151 11 2 1 1 0.96461 0.96461 -9999 -9999 -9999 17
0 0 1 1 152 12 7 1 0 0 0.248496 -9999 -9999 -9999 8
0 0 1 1 153 11 1 1 0 0 0.179632 -9999 -9999 -9999 23
0 0 1 1 154 12 5 1 0 0 0.504692 -9999 -9999 -9999 3
0 0 1 1 158 10 6 1 0 0 0.0589648 -9999 -9999 -9999 24
0 0 1 1 162 9 2 1 0 0 0.157125 -9999 -9999 -9999 4
0 0 1 1 163 10 0 1 0 0 0.220236 -9999 -9999 -9999 14
0 0 1 5 164 12 3 0 1 0.927012 0.927012 -9999 -9999 -9999 4
0 0 1 1 166 16 4 1 0 0 0.254119 -9999 -9999 -9999 4
0 0 1 1 168 8 4 0 0 0 0.177191 -9999 -9999 -9999 7
0 0 1 16 169 6 4 1 1 0.683497 0.683497 -9999 -9999 -9999 15
0 0 1 20 170 10 6 1 1 0.826277 0.826277 -9999 -9999 -9999 1
0 0 1 1 171 4 3 1 0 0 0.340864 -9999 -9999 -9999 1
0 0 1 16 173 11 2 0 1 0.192228 0.192228 -9999 -9999 -9999 4
0 0 1 16 174 8 4 0 1 0.515341 0.515341 -9999 -9999 -9999 13
0 0 1 1 175 16 7 1 0 0 0.141342 -9999 -9999 -9999 18
0 0 1 1 177 16 7 1 0 0 0.325212 -9999 -9999 -9999 13
0 0 1 1 178 15 8 1 0 0 0.506585 -9999 -9999 -9999 19
0 0 1 5 179 13 6 1 1 0.814478 0.814478 -9999 -9999 -9999 22
0 0 1 1 180 2 1 1 0 0 0.636598 -9999 -9999 -9999 15
0 0 1 1 181 12 6 1 0 0 0.02921 -9999 -9999 -9999 5
0 0 1 1 182 14 6 1 0 0 0.0542956 -9999 -9999 -9999 0
0 0 1 1 184 15 1 1 0 0 0.949131 -9999 -9999 -9999 19
0 0 1 8 186 12 6 1 1 0.664807 0.664807 -9999 -9999 -9999 6
0 0 1 1 187 13 5 1 0 0 0.0983891 -9999 -9999 -9999 3
0 0 1 1 189 9 2 1 0 0 0.380086 -9999 -9999 -9999 18
0 0 1 16 190 12 3 0 1 0.925083 0.925083 -9999 -9999 -9999 10
0 0 1 1 191 14 5 1 0 0 0.183814 -9999 -9999 -9999 1
0 0 1 5 192 10 3 1 1 0.472793 0.472793 -9999 -9999 -9999 9
0 0 1 1 194 14 6 1 0 0 0.422985 -9999 -9999 -9999 8
0 0 1 1 195 16 5 0 0 0 0.963552 -9999 -9999 -9999 2
0 0 1 1 197 8 3 1 0 0 0.589794 -9999 -9999 -9999 24
0 0 1 1 198 7 2 1 0 0 0.436302 -9999 -9999 -9999 22
0 0 1 1 200 4 2 1 0 0 0.304585 -9999 -9999 -9999 13
0 0 1 8 2612 1 1 0 1 0.278789 0.278789 -9999 -9999 -9999 20
0 0 2 5 202 16 3 1 1 0.141528 0.141528 -9999 -9999 -9999 20
0 0 2 2 204 10 1 1 0 0 0.0682854 -9999 -9999 -9999 19
0 0 2 16 205 7 4 1 1 0.410737 0.410737 -9999 -9999 -9999 17
0 0 2 2 207 13 5 0 0 0 0.153012 -9999 -9999 -9999 11
0 0 2 5 211 9 7 1 1 0.644443 0.644443 -9999 -9999 -9999 21
0 0 2 2 212 11 3 0 0 0 0.0273678 -9999 -9999 -9999 1
0 0 2 2 214 11 3 0 0 0 0.575138 -9999 -9999 -9999 10
0 0 2 8 215 7 7 0 1 0.678496 0.678496 -9999 -9999 -9999 13
0 0 2 2 216 10 8 1 0 0 0.469217 -9999 -9999 -9999 0
0 0 2 2 217 8 8 0 0 0 0.010884 -9999 -9999 -9999 22
0 0 2 5 218 12 4 1 1 0.506679 0.506679 -9999 -9999 -9999 20
0 0 2 5 219 6 1 0 1 0.722117 0.722117 -9999 -9999 -9999 12
0 0 2 2 221 8 5 1 0 0 0.264313 -9999 -9999 -9999 20
0 0 2 2 222 9 3 0 0 0 0.626239 -9999 -9999 -9999 12
0 0 2 16 223 8 6 0 1 0.877454 0.877454 -9999 -9999 -9999 2
0 0 2 5 225 15 9 1 1 0.843359 0.843359 -9999 -9999 -9999 19
0 0 2 5 226 4 2 1 1 0.0876398 0.0876398 -9999 -9999 -9999 23
0 0 2 2 229 9 4 0 0 0 0.175325 -9999 -9999 -9999 8
0 0 2 2 231 7 3 1 0 0 0.55188 -9999 -9999 -9999 23
0 0 2 16 232 10 7 1 1 0.781565 0.781565 -9999 -9999 -9999 13
0 0 2 5 234 15 5 0 1 0.723719 0.723719 -9999 -9999 -9999 13
0 0 2 5 235 13 6 1 1 0.874144 0.874144 -9999 -9999 -9999 21
0 0 2 16 236 5 4 1 1 0.568945 0.568945 -9999 -9999 -9999 22
0 0 2 16 237 11 7 1 1 0.346537 0.346537 -9999 -9999 -9999 7
0 0 2 2 239 9 2 1 0 0 0.399297 -9999 -9999 -9999 12
0 0 2 2 240 13 4 1 0 0 0.502023 -9999 -9999 -9999 15
0 0 2 2 243 16 6 1 0 0 0.651316 -9999 -9999 -9999 10
0 0 2 5 245 16 5 1 1 0.266518 0.266518 -9999 -9999 -9999 0
0 0 2 5 246 4 4 0 1 0.802014 0.802014 -9999 -9999 -9999 7
0 0 2 16 247 16 8 1 1 0.11745 0.11745 -9999 -9999 -9999 17
0 0 2 2 248 16 1 1 0 0 0.260474 -9999 -9999 -9999 18
